X,Y,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,Densidade,populacao_,populaca_1,populaca_2,populaca_3,icon_url
-44.3527530978804,-22.9865513955368,"3300100",Angra dos Reis,RJ,813.420,"255",RJ,"33","100","207044",./0.png
-42.1346655554106,-21.6522919676056,"3300159",Aperibé,RJ,94.542,"126",RJ,"33","159","11901",./1.png
-42.2929093855005,-22.7553470679123,"3300209",Araruama,RJ,638.276,"210",RJ,"33","209","134293",./0.png
-43.1215380412345,-22.2353994555892,"3300225",Areal,RJ,110.724,"114",RJ,"33","225","12669",./1.png
-41.9495507350473,-22.7762087639871,"3300233",Armação dos Búzios,RJ,70.977,"486",RJ,"33","233","34477",./1.png
-42.160006451978,-22.9250011444017,"3300258",Arraial do Cabo,RJ,152.106,"201",RJ,"33","258","30593",./1.png
-43.9129587011119,-22.4256619838166,"3300308",Barra do Piraí,RJ,584.610,"172",RJ,"33","308","100764",./1.png
-44.1883062568537,-22.5057827819774,"3300407",Barra Mansa,RJ,547.133,"338",RJ,"33","407","184833",./0.png
-43.3775652569216,-22.7287284888299,"3300456",Belford Roxo,RJ,78.985,"6496",RJ,"33","456","513118",./2.png
-42.3717262919215,-22.1997480943539,"3300506",Bom Jardim,RJ,382.430,"72",RJ,"33","506","27616",./1.png
-41.6832007568636,-21.1234625345859,"3300605",Bom Jesus do Itabapoana,RJ,596.659,"62",RJ,"33","605","37203",./1.png
-42.0569734755308,-22.7118165522901,"3300704",Cabo Frio,RJ,413.449,"557",RJ,"33","704","230378",./0.png
-42.72841080456,-22.5161206258841,"3300803",Cachoeiras de Macacu,RJ,954.749,"62",RJ,"33","803","59303",./1.png
-41.9146518913572,-21.4969171438963,"3300902",Cambuci,RJ,558.281,"28",RJ,"33","902","15514",./1.png
-41.6509036679524,-22.1959529650987,"3300936",Carapebus,RJ,304.885,"54",RJ,"33","936","16586",./1.png
-43.2557398243065,-22.0437710218128,"3300951",Comendador Levy Gasparian,RJ,108.639,"79",RJ,"33","951","8576",./1.png
-41.4040921610018,-21.7476613040548,"3301009",Campos dos Goytacazes,RJ,4032.487,"127",RJ,"33","1009","511168",./2.png
-42.3338867958526,-21.8683548178362,"3301108",Cantagalo,RJ,747.210,"27",RJ,"33","1108","20168",./1.png
-41.5002965435587,-21.5254535929542,"3301157",Cardoso Moreira,RJ,522.596,"25",RJ,"33","1157","12821",./1.png
-42.5664121577641,-21.8954201301076,"3301207",Carmo,RJ,305.749,"62",RJ,"33","1207","19030",./1.png
-42.1442387567007,-22.4818636159005,"3301306",Casimiro de Abreu,RJ,462.918,"97",RJ,"33","1306","45041",./1.png
-41.8465798109545,-22.1366126558065,"3301405",Conceição de Macabu,RJ,338.260,"69",RJ,"33","1405","23398",./1.png
-42.3422206156589,-22.0588036592343,"3301504",Cordeiro,RJ,113.048,"195",RJ,"33","1504","22041",./1.png
-42.4980443191517,-22.0556088618493,"3301603",Duas Barras,RJ,379.619,"30",RJ,"33","1603","11528",./1.png
-43.2996064671259,-22.6324916923358,"3301702",Duque de Caxias,RJ,467.319,"1979",RJ,"33","1702","924624",./3.png
-43.6360993741372,-22.508285929042,"3301801",Engenheiro Paulo de Frontin,RJ,139.381,"101",RJ,"33","1801","14071",./1.png
-42.9640156234832,-22.5835039637312,"3301850",Guapimirim,RJ,358.443,"171",RJ,"33","1850","61388",./1.png
-42.2180108602909,-22.8274830748411,"3301876",Iguaba Grande,RJ,50.977,"566",RJ,"33","1876","28837",./1.png
-42.8543588334729,-22.7500211961628,"3301900",Itaboraí,RJ,429.961,"564",RJ,"33","1900","242543",./0.png
-43.8123181764236,-22.8346733784719,"3302007",Itaguaí,RJ,282.606,"477",RJ,"33","2007","134819",./0.png
-41.6538310142497,-21.4239085438716,"3302056",Italva,RJ,291.193,"53",RJ,"33","2056","15299",./1.png
-42.0822421119798,-21.7268900021317,"3302106",Itaocara,RJ,433.182,"54",RJ,"33","2106","23222",./1.png
-41.8940248852877,-21.225097540209,"3302205",Itaperuna,RJ,1106.694,"94",RJ,"33","2205","103800",./1.png
-44.5878416292632,-22.4416628220673,"3302254",Itatiaia,RJ,241.035,"133",RJ,"33","2254","32064",./1.png
-43.6057561196837,-22.6619246682394,"3302270",Japeri,RJ,81.697,"1292",RJ,"33","2270","105548",./1.png
-42.1351187304866,-21.2501022350141,"3302304",Laje do Muriaé,RJ,253.530,"29",RJ,"33","2304","7326",./1.png
-41.9766520542455,-22.2958089182685,"3302403",Macaé,RJ,1216.989,"215",RJ,"33","2403","261501",./0.png
-42.2735346040731,-22.0240014142787,"3302452",Macuco,RJ,78.364,"72",RJ,"33","2452","5623",./1.png
-43.1130247468826,-22.6126206140425,"3302502",Magé,RJ,390.775,"631",RJ,"33","2502","246433",./0.png
-44.0380377575537,-22.9541256116542,"3302601",Mangaratiba,RJ,367.606,"123",RJ,"33","2601","45220",./1.png
-42.81697873696,-22.9153224709994,"3302700",Maricá,RJ,361.572,"455",RJ,"33","2700","164504",./0.png
-43.7397619566083,-22.5215277526448,"3302809",Mendes,RJ,95.324,"196",RJ,"33","2809","18648",./1.png
-43.4523151271972,-22.7993134892786,"3302858",Mesquita,RJ,41.169,"4289",RJ,"33","2858","176569",./0.png
-43.4692408987237,-22.5064912731203,"3302908",Miguel Pereira,RJ,287.933,"89",RJ,"33","2908","25581",./1.png
-42.1522000112744,-21.3955831504621,"3303005",Miracema,RJ,303.270,"90",RJ,"33","3005","27154",./1.png
-41.9312632653141,-21.041649890066,"3303104",Natividade,RJ,387.073,"40",RJ,"33","3104","15311",./1.png
-43.4289512461428,-22.8210672725918,"3303203",Nilópolis,RJ,19.393,"8389",RJ,"33","3203","162693",./0.png
-43.0553416514715,-22.9149949819802,"3303302",Niterói,RJ,133.757,"3853",RJ,"33","3302","515317",./2.png
-42.50103440071,-22.3191204699703,"3303401",Nova Friburgo,RJ,935.429,"204",RJ,"33","3401","191158",./0.png
-43.5018375047321,-22.6867608116421,"3303500",Nova Iguaçu,RJ,520.581,"1582",RJ,"33","3500","823302",./3.png
-43.7215183717658,-22.6178978801003,"3303609",Paracambi,RJ,190.949,"276",RJ,"33","3609","52683",./1.png
-43.3043290190947,-22.1819577163472,"3303708",Paraíba do Sul,RJ,571.118,"78",RJ,"33","3708","44518",./1.png
-44.7062420373491,-23.1483135917856,"3303807",Paraty,RJ,924.296,"47",RJ,"33","3807","43680",./1.png
-43.4039748636737,-22.3670248850194,"3303856",Paty do Alferes,RJ,314.341,"89",RJ,"33","3856","27858",./1.png
-43.1568323490079,-22.397956635468,"3303906",Petrópolis,RJ,791.144,"388",RJ,"33","3906","306678",./0.png
-43.9975467528361,-22.5433256500146,"3303955",Pinheiral,RJ,82.254,"308",RJ,"33","3955","25364",./1.png
-43.901713736096,-22.633588110424,"3304003",Piraí,RJ,490.255,"60",RJ,"33","4003","29545",./1.png
-41.9695832379273,-20.9065642683674,"3304102",Porciúncula,RJ,291.847,"65",RJ,"33","4102","18960",./1.png
-44.3260411924993,-22.4411166410166,"3304110",Porto Real,RJ,50.892,"392",RJ,"33","4110","19974",./1.png
-44.2371029050658,-22.3551515119416,"3304128",Quatis,RJ,284.826,"51",RJ,"33","4128","14435",./1.png
-43.5849224388966,-22.7254151206072,"3304144",Queimados,RJ,75.927,"1993",RJ,"33","4144","151335",./0.png
-41.4444049594423,-22.1047990822531,"3304151",Quissamã,RJ,719.643,"35",RJ,"33","4151","25126",./1.png
-44.485257711822,-22.4406413433906,"3304201",Resende,RJ,1099.336,"120",RJ,"33","4201","132312",./0.png
-42.588067023919,-22.7350151791597,"3304300",Rio Bonito,RJ,459.458,"132",RJ,"33","4300","60573",./1.png
-44.0783778696561,-22.7804816740248,"3304409",Rio Claro,RJ,846.797,"22",RJ,"33","4409","18605",./1.png
-43.5386596155526,-22.159894801588,"3304508",Rio das Flores,RJ,478.783,"20",RJ,"33","4508","9344",./1.png
-41.94647779699,-22.4542406420777,"3304524",Rio das Ostras,RJ,228.044,"681",RJ,"33","4524","155193",./0.png
-43.4509903224655,-22.9231926244997,"3304557",Rio de Janeiro,RJ,1200.329,"5622",RJ,"33","4557","6747815",./4.png
-41.9134779642532,-21.9696344733256,"3304607",Santa Maria Madalena,RJ,810.963,"13",RJ,"33","4607","10392",./1.png
-42.1928791285691,-21.5556157602742,"3304706",Santo Antônio de Pádua,RJ,603.633,"71",RJ,"33","4706","42594",./1.png
-41.1351697408772,-21.4176132808636,"3304755",São Francisco de Itabapoana,RJ,1118.037,"38",RJ,"33","4755","42210",./1.png
-41.7869819863365,-21.6599018938749,"3304805",São Fidélis,RJ,1034.833,"37",RJ,"33","4805","38710",./1.png
-42.99700535297,-22.825617993325,"3304904",São Gonçalo,RJ,248.160,"4399",RJ,"33","4904","1091737",./3.png
-41.0808024038897,-21.7821931730598,"3305000",São João da Barra,RJ,452.396,"81",RJ,"33","5000","36423",./1.png
-43.3653043803679,-22.7851483907401,"3305109",São João de Meriti,RJ,35.216,"13429",RJ,"33","5109","472906",./2.png
-41.9492645430014,-21.370818026032,"3305133",São José de Ubá,RJ,249.688,"29",RJ,"33","5133","7206",./1.png
-42.932522614019,-22.1697264777875,"3305158",São José do Vale do Rio Preto,RJ,220.178,"100",RJ,"33","5158","21916",./1.png
-42.126067255341,-22.7883641042997,"3305208",São Pedro da Aldeia,RJ,332.488,"319",RJ,"33","5208","106049",./1.png
-42.1022429850482,-21.883355468557,"3305307",São Sebastião do Alto,RJ,397.214,"24",RJ,"33","5307","9387",./1.png
-42.822816890845,-22.024124318211,"3305406",Sapucaia,RJ,540.673,"34",RJ,"33","5406","18249",./1.png
-42.5188386083643,-22.8781450500498,"3305505",Saquarema,RJ,352.130,"257",RJ,"33","5505","90583",./1.png
-43.6985684015002,-22.7555379582072,"3305554",Seropédica,RJ,265.189,"313",RJ,"33","5554","83092",./1.png
-42.4133546664357,-22.5675780263808,"3305604",Silva Jardim,RJ,937.755,"23",RJ,"33","5604","21774",./1.png
-42.6641969391968,-22.1070783215908,"3305703",Sumidouro,RJ,413.407,"38",RJ,"33","5703","15667",./1.png
-42.7254485007632,-22.7821874327436,"3305752",Tanguá,RJ,143.007,"242",RJ,"33","5752","34610",./1.png
-42.8733767603832,-22.3140712459774,"3305802",Teresópolis,RJ,773.338,"238",RJ,"33","5802","184240",./0.png
-42.1549629087232,-22.1297496462912,"3305901",Trajano de Moraes,RJ,591.151,"18",RJ,"33","5901","10640",./1.png
-43.1121515421072,-22.1247314819488,"3306008",Três Rios,RJ,322.843,"254",RJ,"33","6008","82142",./1.png
-43.857526345232,-22.234224503879,"3306107",Valença,RJ,1300.767,"59",RJ,"33","6107","76869",./1.png
-41.8297096661808,-20.8929265404877,"3306156",Varre-Sai,RJ,201.938,"55",RJ,"33","6156","11106",./1.png
-43.5697298668068,-22.3585581663543,"3306206",Vassouras,RJ,536.073,"69",RJ,"33","6206","37083",./1.png
-44.0889311143801,-22.4909232234078,"3306305",Volta Redonda,RJ,182.105,"1505",RJ,"33","6305","273988",./0.png
